linear_heat_rate,end_time,peak_T,peak_hoop_strain,min_gap
12000.0,2000.0,690.2579956054688,0.004326879978179932,5.189629882806912e-05
12000.0,3500.0,1012.1199951171875,0.006917379796504974,4.47983002231922e-05
12000.0,5000.0,1036.18994140625,0.007104020100086927,4.4302698370302096e-05
12000.0,6500.0,1036.239990234375,0.00710008991882205,4.429460022947751e-05
20000.0,2000.0,853.47998046875,0.005536910146474838,4.7913199523463845e-05
20000.0,3500.0,1350.6600341796875,0.009280730038881302,3.820630081463605e-05
20000.0,5000.0,1389.239990234375,0.009573609568178654,3.751079930225387e-05
20000.0,6500.0,1389.3499755859375,0.009566199965775013,3.7514499126700684e-05
28000.0,2000.0,1030.4000244140625,0.006792149972170591,4.408570021041669e-05
28000.0,3500.0,1733.6600341796875,0.012182500213384628,3.1316998502006754e-05
28000.0,5000.0,1787.5899658203125,0.012646899558603764,3.0339799195644446e-05
28000.0,6500.0,1787.760009765625,0.012636600062251091,3.0349900043802336e-05
36000.0,2000.0,1222.3800048828125,0.008126440457999706,4.033739969599992e-05
36000.0,3500.0,2123.8701171875,0.015714000910520554,2.377619966864586e-05
36000.0,5000.0,2186.0400390625,0.01635180041193962,2.248050077469088e-05
36000.0,6500.0,2186.199951171875,0.01633870042860508,2.2492100470117293e-05
