linear_heat_rate,end_time,peak_T,peak_hoop_strain,min_gap
12000.0,7900000.0,970.8150024414062,0.0010828300146386027,3.184640081599355e-05
12000.0,15000000.0,940.0850219726562,0.0008182820165529847,2.758730079222005e-05
12000.0,30000000.0,930.0180053710938,0.0003972630074713379,2.1789699530927464e-05
12000.0,45000000.0,949.7360229492188,-0.0005055239889770746,1.4572799955203664e-05
12000.0,63000000.0,936.3140258789062,-0.000919857993721962,8.183040336007252e-06
18000.0,7900000.0,1186.4100341796875,0.001099659944884479,2.6580899429973215e-05
18000.0,15000000.0,1139.5799560546875,0.0008405109983868897,2.237999979115557e-05
18000.0,30000000.0,1120.0999755859375,0.00043829501373693347,1.3449200196191669e-05
18000.0,45000000.0,1142.0,-0.0005445770220831037,7.336009844038927e-07
18000.0,63000000.0,1160.1600341796875,-0.0009169770055450499,2.6580000849207863e-06
24000.0,7900000.0,1401.8399658203125,0.0011190599761903286,1.7906400898937136e-05
24000.0,15000000.0,1328.9200439453125,0.0008710959809832275,1.181130028271582e-05
24000.0,30000000.0,1295.6600341796875,0.0005017730291001499,1.128059992083763e-07
24000.0,45000000.0,1405.9000244140625,-0.00038206399767659605,-2.2417200398194836e-06
24000.0,63000000.0,1417.8499755859375,0.0013401800533756614,-6.729179858666612e-06
30000.0,7900000.0,1614.1800537109375,0.001144489971920848,8.529939805157483e-06
30000.0,15000000.0,1515.4300537109375,0.0009187820251099765,1.337489948127768e-06
30000.0,30000000.0,1556.0,0.000652139016892761,-1.2893500525024137e-06
30000.0,45000000.0,1717.760009765625,0.0019620698876678944,-9.308189873991068e-06
30000.0,63000000.0,1733.75,0.0051472801715135574,-1.2544000128400512e-05
36000.0,7900000.0,1845.989990234375,0.0011767599498853087,2.1183100216148887e-06
36000.0,15000000.0,1830.4000244140625,0.0009978309972211719,-2.0148900148342364e-07
36000.0,30000000.0,1848.800048828125,0.001560969976708293,-7.62054014558089e-06
36000.0,45000000.0,2061.840087890625,0.004463400226086378,-1.2497300303948577e-05
36000.0,63000000.0,2079.840087890625,0.009271119721233845,-1.3204799870436545e-05
