linear_heat_rate,end_time,peak_T,peak_creep_strain,min_gap
12000.0,7900000.0,970.8150024414062,0.000980393961071968,3.184640081599355e-05
12000.0,15000000.0,940.0850219726562,0.0012782400008291006,2.758730079222005e-05
12000.0,30000000.0,930.0180053710938,0.0016913299914449453,2.1789699530927464e-05
12000.0,45000000.0,949.7360229492188,0.0020195399411022663,1.4572799955203664e-05
12000.0,63000000.0,936.3140258789062,0.002317239996045828,8.183040336007252e-06
18000.0,7900000.0,1186.4100341796875,0.001188450027257204,2.6580899429973215e-05
18000.0,15000000.0,1139.5799560546875,0.0014997499529272318,2.237999979115557e-05
18000.0,30000000.0,1120.0999755859375,0.0019015900325030088,1.3449200196191669e-05
18000.0,45000000.0,1142.0,0.0022195400670170784,7.336009844038927e-07
18000.0,63000000.0,1160.1600341796875,0.002467459999024868,2.6580000849207863e-06
24000.0,7900000.0,1401.8399658203125,0.0014204899780452251,1.7906400898937136e-05
24000.0,15000000.0,1328.9200439453125,0.0017356700263917446,1.181130028271582e-05
24000.0,30000000.0,1295.6600341796875,0.0021011000499129295,1.128059992083763e-07
24000.0,45000000.0,1405.9000244140625,0.0022896400187164545,-2.2417200398194836e-06
24000.0,63000000.0,1417.8499755859375,0.0031153899617493153,-6.729179858666612e-06
30000.0,7900000.0,1614.1800537109375,0.0016547399573028088,8.529939805157483e-06
30000.0,15000000.0,1515.4300537109375,0.001953149912878871,1.337489948127768e-06
30000.0,30000000.0,1556.0,0.0022054200526326895,-1.2893500525024137e-06
30000.0,45000000.0,1717.760009765625,0.003721809946000576,-9.308189873991068e-06
30000.0,63000000.0,1733.75,0.006628309842199087,-1.2544000128400512e-05
36000.0,7900000.0,1845.989990234375,0.0018748299917206168,2.1183100216148887e-06
36000.0,15000000.0,1830.4000244140625,0.002126009901985526,-2.0148900148342364e-07
36000.0,30000000.0,1848.800048828125,0.0027060499414801598,-7.62054014558089e-06
36000.0,45000000.0,2061.840087890625,0.00613628001883626,-1.2497300303948577e-05
36000.0,63000000.0,2079.840087890625,0.010969400405883789,-1.3204799870436545e-05
